Date,First,Second,Third,Most_Recent
2013:Q2,13.355,12.889,14.196,11.930
2013:Q3,14.617,12.989,10.313,6.100
2013:Q4,-9.795,-8.752,-7.926,-4.511
2014:Q1,-5.761,-5.055,-4.186,-2.820
2014:Q2,7.540,7.192,8.764,13.245
2014:Q3,1.869,2.690,3.268,4.446
2014:Q4,4.064,3.323,3.816,10.880
2015:Q1,1.275,4.927,6.415,11.421
2015:Q2,6.639,7.790,9.368,11.671
2015:Q3,6.089,7.291,8.178,10.634
2015:Q4,8.173,7.935,10.091,7.342
2016:Q1,14.867,17.154,15.598,13.420
2016:Q2,-6.114,-7.692,-7.754,-4.763
2016:Q3,-6.236,-4.410,-4.147,-4.492
2016:Q4,10.187,9.598,9.598,7.080
2017:Q1,13.670,13.744,12.933,11.080
2017:Q2,-6.821,-6.507,-7.321,-7.321
2017:Q3,-5.988,-5.084,-4.695,-4.695
2017:Q4,11.653,13.066,12.767,12.767
2018:Q1,0.066,-1.969,#N/A,-1.969
,,,,
,,,,
,,,,
,,,,
,,,,
