DATE,TIME,BOROUGH,ZIP CODE,latitude,longitude,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/09/2018,23:56,,,40.80405,-73.91737,"(40.80405, -73.91737)",MAJOR DEEGAN EXPRESSWAY         ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3918324,Taxi,Taxi,,,
05/10/2018,13:56,,,40.80398,-73.831085,"(40.80398, -73.831085)",BRONX WHITESTONE BRIDGE         ,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,3899191,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/23/2018,10:00,BRONX,10454,40.803715,-73.91588,"(40.803715, -73.91588)",CYPRESS AVENUE                  ,EAST 135 STREET,,2,0,0,0,0,0,2,0,Other Vehicular,Following Too Closely,,,,3906327,Sedan,Pick-up Truck,,,
05/04/2018,13:57,BRONX,10454,40.803593,-73.919785,"(40.803593, -73.919785)",BRUCKNER BOULEVARD              ,SAINT ANNS AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3894032,TAXI,PASSENGER VEHICLE,,,
06/17/2018,14:47,BRONX,10454,40.803593,-73.919785,"(40.803593, -73.919785)",SAINT ANNS AVENUE               ,BRUCKNER BOULEVARD,,5,0,0,0,0,0,5,0,Driver Inattention/Distraction,Unspecified,,,,3922646,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/25/2018,9:30,,,40.80355,-73.91472,"(40.80355, -73.91472)",BRUCKNER EXPRESSWAY             ,,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3928486,Sedan,Sedan,Sedan,,
05/18/2018,14:15,MANHATTAN,10035,40.803425,-73.93309,"(40.803425, -73.93309)",2 AVENUE,EAST 126 STREET,,2,0,0,0,0,0,2,0,Outside Car Distraction,Unspecified,,,,3903022,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/16/2018,15:12,,,40.80322,-73.95253,"(40.80322, -73.95253)",WEST 116 STREET,,,2,0,0,0,0,0,2,0,Other Vehicular,Unspecified,,,,3902352,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/03/2018,22:15,,,40.803085,-73.91646,"(40.803085, -73.91646)",BRUCKNER EXPRESSWAY             ,,,2,0,0,0,0,0,2,0,View Obstructed/Limited,,,,,3898504,Station Wagon/Sport Utility Vehicle,,,,
05/05/2018,18:12,,,40.802753,-73.93358,"(40.802753, -73.93358)",EAST 125 STREET,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3894513,PASSENGER VEHICLE,PICK-UP TRUCK,,,
05/26/2018,21:35,MANHATTAN,10026,40.80202,-73.94969,"(40.80202, -73.94969)",WEST 116 STREET,LENOX AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3909667,Taxi,Sedan,,,
05/13/2018,13:37,MANHATTAN,10035,40.801872,-73.94137,"(40.801872, -73.94137)",EAST 120 STREET,PARK AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3899991,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
05/26/2018,16:15,MANHATTAN,10035,40.801815,-73.93929,"(40.801815, -73.93929)",LEXINGTON AVENUE                ,EAST 121 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3909872,Van,Sedan,,,
05/08/2018,14:08,,,40.801754,-73.93121,"(40.801754, -73.93121)",1 AVENUE,EAST 125 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3897042,PASSENGER VEHICLE,TK,,,
05/21/2018,15:00,,,40.801754,-73.93121,"(40.801754, -73.93121)",1 AVENUE,EAST 125 STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,3904992,Sedan,Sedan,,,
05/22/2018,10:20,,,40.801754,-73.93121,"(40.801754, -73.93121)",EAST 125 STREET,1 AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3907222,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/09/2018,16:55,MANHATTAN,10035,40.80124,-73.94183,"(40.80124, -73.94183)",EAST 119 STREET,PARK AVENUE,,2,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3919275,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/26/2018,9:12,,,40.800983,-73.92927,"(40.800983, -73.92927)",TRIBOROUGH BRIDGE               ,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3908659,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
06/13/2018,15:37,,,40.800594,-73.92862,"(40.800594, -73.92862)",TRIBOROUGH BRIDGE               ,,,2,0,0,0,0,0,2,0,Driver Inexperience,,,,,3920795,Station Wagon/Sport Utility Vehicle,,,,
05/15/2018,18:37,MANHATTAN,10026,40.799458,-73.95154,"(40.799458, -73.95154)",WEST 112 STREET,LENOX AVENUE,,4,0,0,0,0,0,4,0,Other Vehicular,Driver Inattention/Distraction,,,,3903592,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/01/2018,16:03,MANHATTAN,10026,40.798782,-73.949936,"(40.798782, -73.949936)",,,50        WEST 112 STREET,2,0,0,0,0,0,2,0,Backing Unsafely,Driver Inattention/Distraction,,,,3912084,Sedan,Taxi,,,
05/11/2018,23:50,MANHATTAN,10035,40.79859,-73.933525,"(40.79859, -73.933525)",1 AVENUE,EAST 120 STREET,,2,0,1,0,1,0,0,0,Unspecified,,,,,3900645,Bike,,,,
06/21/2018,20:34,,,40.798534,-73.923035,"(40.798534, -73.923035)",TRIBOROUGH BRIDGE               ,,,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3929211,Motorcycle,Sedan,,,
05/10/2018,9:24,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,2,0,0,0,0,0,2,0,Following Too Closely,Following Too Closely,Following Too Closely,Unspecified,,3899235,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,TK,
05/11/2018,18:52,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,5,0,0,0,0,0,5,0,Unspecified,Unspecified,,,,3899257,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/12/2018,18:43,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3901988,Sedan,Sedan,,,
05/17/2018,15:42,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,Unspecified,,,3903154,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/29/2018,15:49,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,4,0,0,0,0,0,4,0,Following Too Closely,Following Too Closely,Unspecified,Unspecified,,3910447,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
05/31/2018,15:05,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3911818,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/05/2018,21:37,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,4,0,0,0,0,0,4,0,Following Too Closely,Unspecified,Unspecified,,,3916016,Sedan,Sedan,Sedan,,
06/09/2018,14:00,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,2,0,0,0,0,0,2,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3917301,Sedan,Sedan,,,
06/19/2018,15:35,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,,,3927351,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Box Truck,,
06/13/2018,11:05,,,40.798256,-73.92402,"(40.798256, -73.92402)",TRIBOROUGH BRIDGE               ,,,4,0,0,0,0,0,4,0,Following Too Closely,Unspecified,,,,3920785,Sedan,Taxi,,,
06/08/2018,8:34,,,40.79801,-73.827065,"(40.79801, -73.827065)",BRONX WHITESTONE BRIDGE         ,,,11,0,0,0,0,0,11,0,,,,,,3919660,,,,,
05/05/2018,13:27,MANHATTAN,10025,40.79799,-73.96199,"(40.79799, -73.96199)",MANHATTAN AVENUE                ,WEST 105 STREET,,2,0,0,0,0,0,2,0,Cell Phone (hand-held),Unspecified,,,,3895994,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/12/2018,10:54,,,40.79737,-73.91981,"(40.79737, -73.91981)",TRIBOROUGH BRIDGE               ,,,3,0,0,0,0,0,3,0,Following Too Closely,Following Too Closely,Unspecified,,,3903230,Sedan,Sedan,Sedan,,
05/26/2018,15:04,,,40.79737,-73.91981,"(40.79737, -73.91981)",TRIBOROUGH BRIDGE               ,,,5,0,0,0,0,0,5,0,Following Too Closely,Unspecified,,,,3909971,Sedan,Sedan,,,
06/09/2018,9:00,,,40.795925,-73.972725,"(40.795925, -73.972725)",WEST END AVENUE                 ,,,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,Unspecified,,,3918380,Sedan,Sedan,Sedan,,
05/03/2018,0:40,,,40.79522,-73.921524,"(40.79522, -73.921524)",TRIBOROUGH BRIDGE               ,,,3,0,0,0,0,0,3,0,Steering Failure,Unspecified,,,,3892983,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/07/2018,15:54,,,40.79522,-73.921524,"(40.79522, -73.921524)",TRIBOROUGH BRIDGE               ,,,4,0,0,0,0,0,4,0,Unsafe Speed,Unspecified,Unspecified,,,3895826,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
05/25/2018,8:53,MANHATTAN,10029,40.794464,-73.94468,"(40.794464, -73.94468)",,,1760      LEXINGTON AVENUE,2,0,1,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3910510,Sedan,Sedan,,,
06/09/2018,16:48,,,40.793606,-73.94952,"(40.793606, -73.94952)",EAST 106 STREET,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3918956,PASSENGER VEHICLE,,,,
05/08/2018,13:20,QUEENS,11357,40.792664,-73.81749,"(40.792664, -73.81749)",149 STREET,9 AVENUE,,5,0,0,0,0,0,5,0,Brakes Defective,Unspecified,,,,3897481,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/07/2018,14:28,,,40.791405,-73.93569,"(40.791405, -73.93569)",FDR DRIVE                       ,,,3,0,0,0,0,0,3,0,Following Too Closely,Following Too Closely,Unspecified,,,3896882,TAXI,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
05/21/2018,19:05,,,40.791084,-73.953445,"(40.791084, -73.953445)",5 AVENUE,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,,,,3905158,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/04/2018,10:34,,,40.789444,-73.98212,"(40.789444, -73.98212)",HENRY HUDSON PARKWAY            ,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,,,,3894568,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/29/2018,7:20,MANHATTAN,10024,40.789013,-73.98092,"(40.789013, -73.98092)",,,126       RIVERSIDE DRIVE,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3910389,Taxi,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
06/05/2018,16:10,MANHATTAN,10029,40.78878,-73.946075,"(40.78878, -73.946075)",,,210       EAST 102 STREET,3,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3921285,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/15/2018,15:40,,,40.78848,-73.95114,"(40.78848, -73.95114)",PARK AVENUE                     ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3901959,Taxi,Station Wagon/Sport Utility Vehicle,,,
05/14/2018,15:40,,,40.78795,-73.93819,"(40.78795, -73.93819)",EAST 105 STREET,,,3,0,1,0,0,0,2,0,Physical Disability,Unspecified,,,,3903213,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2018,21:20,,,40.78781,-73.82341,"(40.78781, -73.82341)",WHITESTONE EXPRESSWAY           ,,,2,0,0,0,0,0,2,0,Following Too Closely,Following Too Closely,Unspecified,,,3903152,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
06/16/2018,8:50,QUEENS,11357,40.787678,-73.81876,"(40.787678, -73.81876)",14 AVENUE,147 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3922355,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
06/10/2018,21:20,,,40.78722,-73.952065,"(40.78722, -73.952065)",EAST 97 STREET,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3918768,PASSENGER VEHICLE,AMBUL,,,
05/02/2018,4:46,,,40.787064,-73.94194,"(40.787064, -73.94194)",1 AVENUE,,,2,0,0,0,0,0,2,0,Other Vehicular,Traffic Control Disregarded,Traffic Control Disregarded,,,3896835,Box Truck,Sedan,Station Wagon/Sport Utility Vehicle,,
06/25/2018,9:00,,,40.786804,-73.98338,"(40.786804, -73.98338)",HENRY HUDSON PARKWAY            ,,,2,0,0,0,0,0,2,0,Following Too Closely,Other Vehicular,,,,3928616,Sedan,Sedan,,,
05/15/2018,13:15,,,40.786285,-73.83634,"(40.786285, -73.83634)",14 AVENUE,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,,,3901535,Sedan,Van,Station Wagon/Sport Utility Vehicle,,
05/12/2018,15:15,,,40.786205,-73.834564,"(40.786205, -73.834564)",14 AVENUE,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3899239,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/03/2018,23:00,QUEENS,11356,40.785366,-73.84482,"(40.785366, -73.84482)",14 AVENUE,123 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3913294,Sedan,Sedan,,,
06/11/2018,11:30,,,40.7847,-73.843056,"(40.7847, -73.843056)",15 AVENUE,,,2,0,0,0,0,0,2,0,Other Vehicular,,,,,3919075,SPORT UTILITY / STATION WAGON,,,,
06/09/2018,16:50,QUEENS,11357,40.784466,-73.79995,"(40.784466, -73.79995)",16 AVENUE,163 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3917296,Sedan,Sedan,,,
06/16/2018,17:05,,,40.78357,-73.94759,"(40.78357, -73.94759)",EAST 95 STREET,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3926016,Station Wagon/Sport Utility Vehicle,Bus,,,
05/29/2018,19:00,,,40.783333,-73.94368,"(40.783333, -73.94368)",FDR DRIVE                       ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3910300,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/15/2018,9:17,,,40.78318,-73.94362,"(40.78318, -73.94362)",FDR DRIVE                       ,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,,,,3922014,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/28/2018,21:45,,,40.78263,-73.9512,"(40.78263, -73.9512)",3 AVENUE,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unsafe Speed,,,,3909969,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/15/2018,7:30,,,40.782536,-73.81182,"(40.782536, -73.81182)",18 AVENUE,,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,3901078,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/30/2018,18:20,QUEENS,11356,40.781662,-73.833664,"(40.781662, -73.833664)",,,135-05    20 AVENUE,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,3911222,Sedan,Sedan,,,
05/11/2018,18:14,QUEENS,11356,40.781647,-73.8367,"(40.781647, -73.8367)",20 AVENUE,132 STREET,,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,,,,3899234,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/15/2018,22:02,QUEENS,11360,40.781406,-73.778175,"(40.781406, -73.778175)",23 AVENUE,212 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3922328,Taxi,Sedan,,,
06/22/2018,11:17,MANHATTAN,10024,40.781013,-73.97247,"(40.781013, -73.97247)",,,195       CENTRAL PARK WEST,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3928298,MOTOR,,,,
05/20/2018,0:00,QUEENS,11357,40.780952,-73.819084,"(40.780952, -73.819084)",147 STREET,20 ROAD,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3903936,Sedan,Sedan,,,
05/19/2018,6:15,,,40.78029,-73.94386,"(40.78029, -73.94386)",FDR DRIVE                       ,,,2,0,0,0,0,0,2,0,Other Vehicular,Pavement Slippery,,,,3904450,Sedan,Sedan,,,
05/20/2018,16:23,,,40.78029,-73.94386,"(40.78029, -73.94386)",FDR DRIVE                       ,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3906108,Sedan,Sedan,,,
06/05/2018,19:05,MANHATTAN,10128,40.780125,-73.95304,"(40.780125, -73.95304)",3 AVENUE,EAST 88 STREET,,2,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3915390,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/09/2018,8:58,,,40.77981,-73.95035,"(40.77981, -73.95035)",2 AVENUE,,,2,0,0,0,0,0,2,0,Unspecified,,,,,3918333,3-Door,3-Door,,,
06/11/2018,20:10,MANHATTAN,10023,40.77946,-73.98188,"(40.77946, -73.98188)",,,2099      BROADWAY,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3919248,TAXI,TAXI,,,
05/19/2018,15:20,,,40.778805,-73.947975,"(40.778805, -73.947975)",EAST 89 STREET,,,2,0,0,0,0,0,2,0,Following Too Closely,Driver Inattention/Distraction,Unspecified,,,3905209,Taxi,Taxi,Sedan,,
05/28/2018,21:13,QUEENS,11356,40.778606,-73.8452,"(40.778606, -73.8452)",123 STREET,23 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3909596,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/07/2018,14:51,,,40.77855,-73.925674,"(40.77855, -73.925674)",TRIBOROUGH BRIDGE               ,,,15,0,0,0,0,0,15,0,Reaction to Uninvolved Vehicle,Unsafe Lane Changing,Following Too Closely,Unspecified,,3930003,Sedan,Sedan,Sedan,Bus,
05/10/2018,15:25,,,40.778492,-73.92583,"(40.778492, -73.92583)",TRIBOROUGH BRIDGE               ,,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,3921375,Pick-up Truck,Sedan,,,
05/24/2018,12:45,,,40.778492,-73.92583,"(40.778492, -73.92583)",TRIBOROUGH BRIDGE               ,,,2,0,0,0,0,0,2,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3908682,Van,Sedan,,,
06/03/2018,15:54,,,40.778492,-73.92583,"(40.778492, -73.92583)",TRIBOROUGH BRIDGE               ,,,5,0,0,0,0,0,5,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,3921380,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,
05/31/2018,7:57,QUEENS,11357,40.778336,-73.80343,"(40.778336, -73.80343)",160 STREET,CLINTONVILLE STREET,,5,0,0,0,0,0,5,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,3911627,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
05/19/2018,14:24,,,40.77812,-73.81743,"(40.77812, -73.81743)",149 STREET,,,2,0,0,0,0,0,2,0,Unsafe Speed,Failure to Yield Right-of-Way,,,,3903598,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/30/2018,17:00,QUEENS,11105,40.77652,-73.915924,"(40.77652, -73.915924)",23 AVENUE,26 STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3911952,3-Door,Station Wagon/Sport Utility Vehicle,Sedan,,
05/28/2018,7:40,MANHATTAN,10075,40.775642,-73.960526,"(40.775642, -73.960526)",PARK AVENUE                     ,EAST 79 STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,3910666,Sedan,Taxi,,,
05/01/2018,13:10,,,40.775547,-73.91456,"(40.775547, -73.91456)",23 AVENUE,,,2,0,0,0,0,0,2,0,Turning Improperly,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3892325,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,TK,PASSENGER VEHICLE
06/03/2018,10:00,,,40.77421,-73.93182,"(40.77421, -73.93182)",8 STREET,,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3913183,Station Wagon/Sport Utility Vehicle,,,,
06/18/2018,15:45,,,40.77392,-73.89809,"(40.77392, -73.89809)",20 AVENUE,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3924819,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/18/2018,22:00,,,40.77353,-73.94417,"(40.77353, -73.94417)",FDR DRIVE                       ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3928062,Sedan,Sedan,,,
06/17/2018,20:17,,,40.77305,-73.92148,"(40.77305, -73.92148)",CRESCENT STREET                 ,,,4,0,0,0,0,0,4,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,3922756,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/17/2018,8:30,QUEENS,11354,40.77279,-73.837135,"(40.77279, -73.837135)",ULMER STREET                    ,28 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3902368,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
05/02/2018,17:50,QUEENS,11102,40.772392,-73.93279,"(40.772392, -73.93279)",8 STREET,30 AVENUE,,2,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3892205,BICYCLE,TAXI,,,
06/05/2018,7:00,,,40.772327,-73.94531,"(40.772327, -73.94531)",FDR DRIVE                       ,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unsafe Speed,Unspecified,Unspecified,Unspecified,3914712,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
05/11/2018,8:40,QUEENS,11358,40.77204,-73.79237,"(40.77204, -73.79237)",UTOPIA PARKWAY                  ,28 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3898606,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/05/2018,16:25,,,40.77204,-73.93224,"(40.77204, -73.93224)",MAIN AVENUE                     ,,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3915481,Sedan,Station Wagon/Sport Utility Vehicle,Bus,,
06/22/2018,1:30,,,40.771305,-73.87664,"(40.771305, -73.87664)",GRAND CENTRAL PKWY              ,,,3,0,0,0,0,0,3,0,Unsafe Lane Changing,Unspecified,,,,3928233,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/26/2018,16:40,,,40.7712,-73.83345,"(40.7712, -73.83345)",WHITESTONE EXPRESSWAY           ,,,3,0,0,0,0,0,3,0,Passing or Lane Usage Improper,Unspecified,,,,3908321,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/01/2018,22:10,,,40.77077,-73.91727,"(40.77077, -73.91727)",31 STREET,,,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,,,,3913156,Sedan,Sedan,,,
05/19/2018,12:43,,,40.77041,-73.93448,"(40.77041, -73.93448)",VERNON BOULEVARD                ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3903965,Sedan,Sedan,,,
05/06/2018,13:45,,,40.7699,-73.91608,"(40.7699, -73.91608)",GRAND CENTRAL PKWY              ,,,4,0,0,0,0,0,4,0,Following Too Closely,Unspecified,,,,3894757,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/24/2018,10:50,MANHATTAN,10019,40.769638,-73.9919,"(40.769638, -73.9919)",WEST 56 STREET,11 AVENUE,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,3910482,Sedan,Sedan,,,
05/03/2018,5:44,,,40.769333,-73.912445,"(40.769333, -73.912445)",GRAND CENTRAL PKWY              ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3892455,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
06/20/2018,23:10,QUEENS,11102,40.769264,-73.924576,"(40.769264, -73.924576)",CRESCENT STREET                 ,29 AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3927861,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/22/2018,1:25,MANHATTAN,10019,40.769115,-73.98856,"(40.769115, -73.98856)",WEST 57 STREET,10 AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,,,3926638,Taxi,Taxi,Taxi,,
06/21/2018,11:52,QUEENS,11102,40.768616,-73.92508,"(40.768616, -73.92508)",CRESCENT STREET                 ,30 AVENUE,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3927873,Sedan,,,,
06/18/2018,21:00,QUEENS,11361,40.7686,-73.76986,"(40.7686, -73.76986)",36 AVENUE,215 STREET,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3924832,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/18/2018,17:10,,,40.768166,-73.83749,"(40.768166, -73.83749)",WHITESTONE EXPRESSWAY           ,,,2,0,0,0,0,0,2,0,Illnes,Unspecified,,,,3926394,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
