DATE,TIME,BOROUGH,ZIP CODE,latitude,longitude,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/13/2018,21:27,BRONX,10466,40.890244,-73.860306,"(40.890244, -73.860306)",EAST 228 STREET,LOWERRE PLACE,,3,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Other Vehicular,,,,3899772,Sedan,Sedan,,,
05/17/2018,18:30,,,40.88996,-73.88738,"(40.88996, -73.88738)",MAJOR DEEGAN EXPRESSWAY         ,,,5,0,0,0,0,0,5,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3903880,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan
05/10/2018,15:45,BRONX,10466,40.889767,-73.86401,"(40.889767, -73.86401)",BRONX BOULEVARD                 ,EAST 226 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3898845,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/14/2018,12:34,BRONX,10466,40.889225,-73.83173,"(40.889225, -73.83173)",,,1535      EAST 233 STREET,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3901133,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/20/2018,10:00,BRONX,10466,40.88919,-73.83131,"(40.88919, -73.83131)",EAST 233 STREET,DYRE AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Illnes,,,,3925598,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/04/2018,11:08,BRONX,10466,40.888588,-73.849884,"(40.888588, -73.849884)",PAULDING AVENUE                 ,EAST 230 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3916544,Sedan,Sedan,,,
05/14/2018,16:27,BRONX,10466,40.8883,-73.85682,"(40.8883, -73.85682)",BARNES AVENUE                   ,EAST 227 STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,3901131,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/05/2018,21:30,BRONX,10466,40.887257,-73.85872,"(40.887257, -73.85872)",,,765       EAST 225 STREET,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3895205,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
05/09/2018,10:50,,,40.886482,-73.804886,"(40.886482, -73.804886)",NEW ENGLAND THRUWAY             ,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3897354,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
06/13/2018,16:00,BRONX,10475,40.88628,-73.82693,"(40.88628, -73.82693)",BOSTON ROAD                     ,NOELL AVENUE,,2,0,0,0,0,0,2,0,Shoulders Defective/Improper,,,,,3922774,Sedan,,,,
05/20/2018,15:50,BRONX,10466,40.885975,-73.85472,"(40.885975, -73.85472)",EAST 225 STREET,BRONXWOOD AVENUE,,2,0,1,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3904935,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
05/26/2018,0:35,,,40.885952,-73.8279,"(40.885952, -73.8279)",BOSTON ROAD                     ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3908938,Sedan,Motorcycle,,,
05/27/2018,8:15,BRONX,10466,40.88561,-73.84837,"(40.88561, -73.84837)",LACONIA AVENUE                  ,EAST 227 STREET,,2,0,0,0,0,0,2,0,Following Too Closely,Failure to Yield Right-of-Way,,,,3909022,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/22/2018,16:45,BRONX,10466,40.88553,-73.84079,"(40.88553, -73.84079)",,,3750      BAYCHESTER AVENUE,2,0,2,0,0,0,0,0,Turning Improperly,,,,,3906651,Station Wagon/Sport Utility Vehicle,,,,
05/01/2018,15:46,BRONX,10466,40.88527,-73.85511,"(40.88527, -73.85511)",BRONXWOOD AVENUE                ,EAST 224 STREET,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3893362,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/27/2018,15:15,,,40.88473,-73.81571,"(40.88473, -73.81571)",HUTCHINSON RIVER PARKWAY        ,,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3908838,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/21/2018,7:56,BRONX,10463,40.883736,-73.90145,"(40.883736, -73.90145)",,,5765      BROADWAY,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3906407,Pick-up Truck,Sedan,,,
05/23/2018,11:00,,,40.88136,-73.88138,"(40.88136, -73.88138)",DEKALB AVENUE                   ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3906820,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
05/08/2018,18:35,BRONX,10466,40.881264,-73.83875,"(40.881264, -73.83875)",BAYCHESTER AVENUE               ,BOSTON ROAD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3896950,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/04/2018,8:00,BRONX,10463,40.880642,-73.9105,"(40.880642, -73.9105)",,,3017      RIVERDALE AVENUE,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3893985,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
